Continent,Year,Life.Expectancy,Population,CO2.emissions,Electric.power.consumption,Health.expenditure,GDP.per.capita,Individuals.using.the.Internet,Military.expenditure,People.practicing.open.defecation,People.using.at.least.basic.drinking.water.services,Obesity.among.adults,Beer.consumption.per.capita
South America,2012,74.7533,39854356.7,2.713695443,2047.919505,6.986087228,14095.78316,44.10789151,1.753983755,5.083241726,94.51100238,21.08,3.199
South America,2013,74.9561,40259021.2,2.827101488,2121.137391,6.997399186,14759.69265,48.0749205,1.790022682,4.702833767,94.91678589,21.62,3.188
South America,2014,75.1462,40668964.9,2.784652915,2182.206086,7.097042228,15084.42706,51.26813926,1.796787358,4.326790607,95.31727433,22.12,3.225
South America,2015,75.3244,41078997.3,2.806571177,2228.793215,7.475559664,14989.55354,55.74757068,1.736616964,3.928383409,95.71364221,22.67,3.202
World Average,2000,68.43645317,46281694.61,5.145116931,3450.908819,5.429311054,13007.37457,8.986944681,2.443395429,12.13669337,84.06839662,13.24453782,2.073011765
World Average,2001,68.71239639,46869581.76,5.224463752,3516.591322,5.620892203,13463.82606,11.21407522,2.348888683,11.79657976,84.40799343,13.59495798,2.062136218
World Average,2002,68.93821726,47455935.94,5.284756979,3574.662466,5.8315215,13947.05489,14.75774248,2.306854478,11.46237675,84.77236859,13.9605042,2.075966134
World Average,2003,69.19439414,48043181.09,5.474999584,3632.53066,5.931470388,14480.76352,17.4261238,2.230129671,11.12712067,85.13504291,14.3302521,2.068034538
World Average,2004,69.56591884,48633784.68,5.494275946,3715.374904,5.950366902,15445.82077,19.81356019,2.200684621,10.78273158,85.49746553,14.71848739,2.100965042
World Average,2005,69.83995101,49226937.81,5.504860668,3778.066964,5.931030658,16257.32418,21.96190769,2.128639821,10.42040433,85.87544453,15.09411765,2.166771849
World Average,2006,70.18674134,49821052.76,5.63792689,3833.272681,5.894599669,17669.40925,24.52808921,2.106032583,10.05737011,86.25636122,15.48571429,2.242167059
World Average,2007,70.52112462,50414848.08,5.626000283,3910.035485,5.908045419,18797.48811,27.58469585,2.151951255,9.6909637,86.64012586,15.88991597,2.301357311
World Average,2008,70.91550236,51016287.48,5.570941083,3947.567219,6.029726773,19640.00329,30.63780513,2.141829164,9.325644811,87.02351731,16.30756303,2.310483109
World Average,2009,71.31438512,51618354.45,5.24715921,3920.803503,6.500945525,19126.55238,33.6520379,2.232083897,8.964096676,87.40351321,16.72857143,2.24736479
World Average,2010,71.6997192,52217943.11,5.399957814,3778.380454,6.403003746,19804.41733,36.9819563,2.114594628,8.605148612,87.78365306,17.17226891,2.243613445
World Average,2011,72.11249149,52818102.66,5.346845404,3939.625391,6.308729023,20644.24972,39.86983381,2.047038418,8.24951892,88.15763925,17.6210084,2.266890756
World Average,2012,72.4275456,53453514.29,5.311801442,3918.145928,6.355335947,21358.93194,42.89371379,2.090103504,7.899656261,88.53085165,18.08403361,2.267647059
World Average,2013,72.78949211,54097672.56,5.2575154,3945.677045,6.440030278,21916.54509,45.61412506,2.163950643,7.557587871,88.90588357,18.55462185,2.248487395
World Average,2014,73.11629207,54742383.03,5.129899574,3935.208359,6.438296721,22194.61036,48.52102641,2.247599442,7.219340007,89.27609411,19.05210084,2.264705882
World Average,2015,73.30687108,55382033.52,5.05221232,3937.700192,6.576373318,21751.43881,51.33587736,2.356172794,6.88566266,89.65026824,19.57563025,2.25092437
